# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
6.73,18,6460.738559
6.83,33,6470.210626
5.97,24,6476.795233
7.55,28,6484.918341
6.52,21,6490.694763
6.72,33,6500.073483
6.71,37,6510.524966
7.82,34,6523.181078
7.9,31,6531.959763
7.16,30,6540.378634
6.81,25,6547.43295
6.06,25,6554.267393
6.77,21,6560.422243
8.07,32,6569.891967
6.87,26,6577.360358
6.98,30,6586.122872
8.27,33,6595.110821
6.89,28,6602.869405
5.28,21,6608.634648
4.7,26,6616.26265
6.97,23,6622.628747
7.2,30,6631.262982
6.8,21,6636.834234
6.79,25,6643.961248
6.9,38,6654.966618
7.65,38,6665.695903
7.1,28,6673.674336
6.91,27,6681.144637
8.11,29,6689.764069
6.26,24,6696.687755
7.33,26,6703.668885
7.97,36,6714.248573
6.93,31,6723.222407
8.16,26,6731.170072
7.61,23,6737.741283
7.55,35,6748.024218
7.69,28,6756.689557
5.68,19,6762.260837
6.9,31,6771.416359
6.92,28,6779.655021
5.45,26,6787.010331
6.14,28,6795.297782
6.73,27,6803.504003
8.42,37,6813.914647
7.41,26,6821.305135
7.18,23,6827.715149
5.25,16,6832.125238
6.72,33,6841.799466
7.23,25,6848.893237
6.22,30,6857.158754
7.03,23,6863.853974
7.5,25,6870.693772
7.13,30,6879.201107
7.1,31,6888.525209
6.17,30,6896.719135
7.05,40,6908.098999
6.45,34,6918.183165
4.91,17,6922.838814
6.44,28,6931.152095
5.9,25,6938.299922
6.72,31,6947.469595
6.27,16,6952.006426
6.54,30,6960.432294
3.67,11,6963.286181
6.12,19,6968.681232
5.48,22,6974.733767
4.55,17,6979.755668
6.4,25,6987.056574
7.08,33,6996.532335
7.47,38,7007.56969
6.8,18,7012.910076
6.93,24,7019.575283
5.93,22,7025.6805
7.75,31,7034.622895
8.07,25,7041.486346
8.03,29,7049.685941
6.99,28,7057.491457
7.63,33,7067.437794
6.88,28,7075.280534
6.25,19,7080.146944
7.24,29,7088.474768
6.28,23,7094.815979
6.96,27,7102.253306
6.38,27,7109.939601
7.73,38,7120.77808
6.45,26,7128.056103
7.68,28,7136.19924
4.39,30,7144.931283
4.1,15,7149.17133
6.89,36,7159.330384
6.9,26,7166.870488
6.67,28,7175.095022
5.75,21,7180.875751
5.86,18,7186.093301
5.64,23,7192.491907
7.17,27,7200.613555
7.51,25,7207.718054
7.96,30,7217.872321
7.02,28,7227.33166
6.93,31,7237.580722
4.45,14,7241.511191
6.94,39,7253.810225
8.17,36,7264.858394
5.37,19,7270.236311
5.14,26,7277.430769
7.04,33,7286.85616
6.85,30,7295.440457
6.62,26,7302.605153
7.55,36,7314.22627
5.37,22,7320.202564
6.32,23,7326.417643
7.02,34,7335.69081
6.51,23,7342.098904
7.66,42,7353.60556
6.67,25,7360.981803
6.62,21,7367.020522
8.11,26,7374.471197
6.06,23,7380.68831
5.61,31,7389.399493
7.66,35,7398.922917
5.44,23,7406.003463
6.74,26,7413.292964
6.29,26,7420.278956
7.16,22,7426.404907
6.7,27,7434.599466
6.88,29,7444.43653
6.36,23,7451.222862
7.19,34,7460.936865
6.21,28,7469.042722
7.11,24,7475.285939
6.83,30,7483.720272
8.35,42,7495.200807
8.29,30,7503.096871
6.93,29,7511.729991
7.52,28,7519.947365
6.94,26,7527.201737
4.32,16,7531.793588
7.04,27,7539.037714
7.12,37,7549.650012
6.69,26,7557.107952
6.6,27,7564.88256
7.12,32,7573.825403
6.5,26,7581.091251
5.5,17,7585.741713
7.99,31,7594.953748
6.47,25,7601.883447
7.66,27,7609.609802
6.34,23,7615.714642
7.21,28,7623.799017
6.54,26,7631.316505
7.66,34,7640.944448
5.91,33,7650.768712
7.3,25,7657.991243
5.74,21,7664.230589
6.31,29,7672.592674
7.18,32,7681.837661
6.35,24,7688.392165
7.57,26,7695.452525
8.18,39,7707.003865
5.59,25,7714.379526
6.95,22,7720.747659
7.45,32,7729.934106
6.29,29,7738.251648
6.0,28,7745.883532
5.14,33,7755.203758
7.13,32,7764.418214
7.86,36,7774.761562
6.9,15,7779.05334
6.4,26,7786.384281
6.18,33,7795.96844
6.87,30,7804.218832
6.58,30,7812.748737
7.46,32,7821.992536
7.32,26,7829.224983
7.4,28,7837.111674
5.66,25,7844.272497
8.22,41,7855.715031
5.59,26,7863.418595
6.16,25,7870.703019
7.27,28,7878.935417
7.03,20,7884.570089
7.44,33,7894.273073
8.02,32,7903.610104
6.15,25,7910.498774
6.79,20,7916.056887
7.78,30,7925.523566
6.33,27,7933.345007
5.87,23,7940.094069
6.73,19,7945.629215
6.38,25,7953.057446
8.36,36,7963.140859
5.84,21,7968.980418
6.62,28,7976.970374
7.35,32,7985.914262
7.05,39,7996.935208
7.91,27,8004.627148
7.53,33,8013.840077
7.56,25,8021.311619
6.68,32,8030.50172
7.76,31,8039.040908
7.84,29,8047.199174
7.55,36,8057.513172
7.04,32,8066.470895
6.51,30,8074.618915
6.91,26,8082.04177
6.82,26,8089.186427
6.46,25,8096.633278
7.12,17,8101.424366
7.22,31,8110.406952
6.58,30,8119.164218
7.25,26,8126.612225
6.79,28,8134.658686
5.72,19,8139.984862
6.3,25,8146.952345
7.28,28,8154.758632
7.02,33,8163.79083
5.43,22,8169.978678
6.1,17,8174.951519
6.64,23,8181.734466
6.11,26,8188.766409
6.58,22,8194.88202
6.76,26,8202.569237
6.37,25,8209.470636
7.21,30,8217.687514
6.46,27,8225.55369
6.08,27,8233.459529
7.0,23,8239.54434
8.1,33,8249.279318
6.05,25,8256.308817
6.94,32,8265.319069
6.96,28,8273.190485
7.16,38,8284.126068
6.75,28,8291.960922
7.87,35,8301.820407
5.99,21,8308.075296
6.7,26,8315.322867
6.11,23,8321.951826
7.23,34,8331.365777
6.42,27,8339.110133
6.72,35,8349.033898
7.43,32,8357.610918
6.24,28,8365.471758
6.9,29,8373.758733
7.08,26,8381.425959
7.08,23,8387.580021
6.37,31,8396.519662
7.53,31,8404.89888
6.49,24,8411.592459
7.04,21,8417.564152
7.36,26,8424.651059
7.74,25,8432.072321
7.18,30,8440.195792
8.05,28,8448.265499
5.97,25,8455.373319
7.49,27,8463.046382
5.79,24,8469.774806
7.77,35,8479.283499
6.9,25,8486.194104
7.04,28,8493.888786
7.2,30,8502.588221
7.58,26,8509.950899
6.96,28,8517.542131
6.99,32,8526.805657
6.38,19,8531.86434
6.13,28,8539.722248
6.85,24,8546.624461
5.6,28,8554.355478
6.58,30,8562.398865
7.73,29,8570.855494
7.42,30,8579.512828
7.75,23,8586.239372
6.95,31,8594.89436
7.15,30,8603.272001
6.91,34,8613.082876
7.1,32,8621.933009
7.25,31,8630.57743
7.14,18,8635.475384
7.68,34,8645.028315
6.94,25,8652.102635
7.81,35,8662.001523
7.86,29,8670.50436
6.42,23,8676.827555
7.56,38,8687.568982
5.83,14,8691.367183
4.42,19,8696.812626
